Name,Age,Gender,Country,State,City,Parent Occupation,Earning Class,Level of Student,Level of Course,Course Name,Assessment Score,Study Time per Day (hrs),Material Name,Material Level,IQ of Student
Anusha Johal,12,Other,India,Gujarat,Ahmedabad,Farmer,Middle,4,1,Mathematics,89,4.5,E-Book,1,87
Imaran Sharaf,11,Other,India,West Bengal,Asansol,Government Employee,High,2,3,Computer Science,98,2.2,E-Book,1,85
Mohammed Kannan,15,Male,India,Maharashtra,Mumbai,Government Employee,Middle,7,3,Science,6,2.8,Textbook,3,129
Ayushman Rao,10,Male,India,Uttar Pradesh,Kanpur,Farmer,Low,4,2,History,88,2.4,Video Lesson,1,106
Kevin Nayak,10,Other,India,Karnataka,Hubli,Farmer,High,6,4,English,34,0.7,Interactive Quiz,1,137
Udyati Mitra,13,Male,India,Tamil Nadu,Madurai,Government Employee,Middle,6,2,Computer Science,73,4.9,Textbook,3,91
Eshana Bali,18,Male,India,Tamil Nadu,Chennai,Government Employee,Low,5,4,Mathematics,40,3.4,Video Lesson,2,112
Yashasvi Sawhney,18,Other,India,Gujarat,Ahmedabad,Government Employee,Middle,6,3,History,11,2.9,Textbook,2,85
Brijesh Nath,16,Male,India,West Bengal,Kolkata,Farmer,High,4,1,History,63,2.8,Interactive Quiz,1,80
Adya Yohannan,12,Male,India,West Bengal,Kolkata,Engineer,Middle,9,2,English,97,3.9,Textbook,1,92
Arjun Tandon,14,Male,India,Gujarat,Ahmedabad,Engineer,Low,7,2,History,97,2.0,Video Lesson,3,140
Chandani Maharaj,12,Male,India,Maharashtra,Pune,Teacher,Low,2,5,Science,88,4.0,Video Lesson,3,126
Chasmum Garde,13,Female,India,Rajasthan,Jodhpur,Engineer,High,1,4,Mathematics,72,3.6,Textbook,1,100
Dayamai Vora,17,Female,India,West Bengal,Kolkata,Software Developer,High,4,3,Computer Science,74,1.5,Textbook,2,91
Aahana Barman,11,Female,India,West Bengal,Siliguri,Engineer,High,12,1,Computer Science,17,0.7,Interactive Quiz,2,93
Parth Nagi,11,Female,India,Uttar Pradesh,Lucknow,Doctor,High,2,3,Science,57,1.5,E-Book,2,112
Meghana Dani,12,Male,India,Tamil Nadu,Coimbatore,Software Developer,Middle,5,5,Computer Science,38,2.9,Textbook,1,94
Devansh Kata,11,Female,India,Karnataka,Mysore,Farmer,High,9,1,Mathematics,29,2.4,E-Book,1,122
Arjun Dhillon,10,Other,India,Uttar Pradesh,Lucknow,Software Developer,Middle,4,5,History,11,2.3,Video Lesson,2,108
Odika Varghese,18,Male,India,West Bengal,Kolkata,Doctor,Low,1,4,English,33,1.0,E-Book,1,136
Divya Ghosh,18,Female,India,Tamil Nadu,Coimbatore,Business Owner,Middle,9,2,History,82,3.0,Interactive Quiz,1,93
Robert Koshy,15,Male,India,Uttar Pradesh,Varanasi,Engineer,Middle,11,4,Science,22,4.5,Video Lesson,3,128
Vedant Dhillon,13,Male,India,Rajasthan,Jaipur,Government Employee,Low,12,5,Science,80,1.0,Textbook,3,114
Simon Dhaliwal,12,Male,India,West Bengal,Siliguri,Engineer,High,7,2,Mathematics,38,2.5,Interactive Quiz,2,97
Samuel Agrawal,17,Male,India,Karnataka,Mysore,Farmer,High,3,1,Computer Science,61,2.5,Textbook,3,108
Aashi Grover,12,Female,India,Gujarat,Surat,Farmer,High,5,2,Science,62,2.6,Interactive Quiz,3,132
Jyoti Doctor,17,Other,India,Uttar Pradesh,Varanasi,Government Employee,Low,8,3,Mathematics,54,2.9,Textbook,3,139
Vanya Nayar,13,Female,India,West Bengal,Kolkata,Doctor,Middle,3,5,English,36,4.9,E-Book,3,102
Ira Merchant,18,Female,India,Gujarat,Surat,Government Employee,High,11,3,Computer Science,16,1.3,Interactive Quiz,1,112
Zilmil Kant,15,Other,India,Gujarat,Surat,Business Owner,Low,3,3,Science,100,3.0,Video Lesson,2,98
Faras Kohli,18,Other,India,Tamil Nadu,Coimbatore,Doctor,Low,8,2,English,88,3.1,E-Book,1,117
Sudiksha Tak,10,Other,India,Maharashtra,Pune,Government Employee,High,6,2,Computer Science,81,1.4,Textbook,2,128
Yatin Doctor,10,Female,India,West Bengal,Kolkata,Doctor,Low,3,1,Computer Science,3,2.8,Textbook,2,139
Barkha Merchant,13,Male,India,Tamil Nadu,Chennai,Government Employee,High,9,4,Computer Science,80,3.8,Interactive Quiz,3,86
Ekiya Hans,14,Female,India,Rajasthan,Jodhpur,Engineer,Middle,2,2,Science,88,2.0,Video Lesson,2,113
Yauvani Raj,18,Other,India,Karnataka,Hubli,Doctor,High,1,1,Science,50,2.5,Textbook,3,95
Yauvani Kohli,14,Other,India,Uttar Pradesh,Varanasi,Government Employee,Low,11,5,Mathematics,22,4.4,E-Book,1,92
